cust_id,lookalikes
C0001,"[('C0197', 0.8173310844459089), ('C0026', 0.7367452300470155), ('C0100', 0.6986626870655576)]"
C0002,"[('C0133', 0.8837932938918894), ('C0173', 0.7660598135628433), ('C0109', 0.6596872281629413)]"
C0003,"[('C0164', 0.7229023422425487), ('C0085', 0.6576407122431807), ('C0181', 0.647749997510602)]"
C0004,"[('C0118', 0.740279454546346), ('C0008', 0.7185757296227386), ('C0075', 0.7089456559289884)]"
C0005,"[('C0128', 0.7597061203041797), ('C0096', 0.745994254875018), ('C0014', 0.7430486048449116)]"
C0006,"[('C0187', 0.7556461121621504), ('C0191', 0.6751542015405776), ('C0139', 0.6303324009220854)]"
C0007,"[('C0181', 0.7415071718107727), ('C0031', 0.6855707127455613), ('C0118', 0.6588397905730267)]"
C0008,"[('C0057', 0.85208163469467), ('C0143', 0.776872237875828), ('C0075', 0.724700235933181)]"
C0009,"[('C0093', 0.700126756309084), ('C0156', 0.6990596574369239), ('C0062', 0.6987519839752924)]"
C0010,"[('C0058', 0.7631974924303424), ('C0092', 0.7148475279488384), ('C0040', 0.6904534248231188)]"
C0011,"[('C0084', 0.6765540221931198), ('C0094', 0.6439198975353183), ('C0091', 0.6398316652095445)]"
C0012,"[('C0136', 0.8137662538704671), ('C0076', 0.7396120936810175), ('C0148', 0.6922167176487699)]"
C0013,"[('C0040', 0.7643904259464166), ('C0102', 0.7229772577000303), ('C0153', 0.7013942238419161)]"
C0014,"[('C0128', 0.9594837265131857), ('C0005', 0.7430486048449116), ('C0012', 0.6568567611843887)]"
C0015,"[('C0060', 0.6966035602085244), ('C0073', 0.6596363309909825), ('C0103', 0.5912890958424383)]"
C0016,"[('C0184', 0.821086901657889), ('C0192', 0.6873208171798235), ('C0048', 0.6829295705009971)]"
C0017,"[('C0164', 0.6770132502398702), ('C0158', 0.6283128297327882), ('C0104', 0.6200583634565555)]"
C0018,"[('C0038', 0.7553628843224471), ('C0161', 0.7522907259343858), ('C0114', 0.7520117852471545)]"
C0019,"[('C0070', 0.7681514716905995), ('C0171', 0.7498616501340483), ('C0191', 0.7465466948600384)]"
C0020,"[('C0050', 0.7789278910622796), ('C0045', 0.7123142962995598), ('C0001', 0.670097033279763)]"
